STATE/UT,Year,CAUSE,Male,Female,Total
HARYANA,2013,Truck/Lorry (Government),0,0,0
HARYANA,2013,Truck/Lorry (Private),657,52,709
HARYANA,2013,Bus (Government),89,19,108
HARYANA,2013,Bus (Private),109,26,135
HARYANA,2013,Tempo/Vans (Government),3,1,4
HARYANA,2013,Tempo/Vans (Private),214,38,252
HARYANA,2013,Jeep (Government),3,0,3
HARYANA,2013,Jeep (Private),289,74,363
HARYANA,2013,Car (Government),2,2,4
HARYANA,2013,Car (Private),480,109,589
HARYANA,2013,Three Wheeler,186,32,218
HARYANA,2013,Two Wheeler,773,133,906
HARYANA,2013,Bicycle,68,5,73
HARYANA,2013,Pedestrian,547,75,622
HARYANA,2013,Others (Please Specify),506,55,561
HARYANA,2013,Total Deaths (Persons),3926,621,4547
HARYANA,2013,Total Truck/Lorry,657,52,709
HARYANA,2013,Total Bus,198,45,243
HARYANA,2013,Total Tempo/Vans,217,39,256
HARYANA,2013,Total Jeep,292,74,366
HARYANA,2013,Total Car,482,111,593
HIMACHAL PRADESH,2013,Truck/Lorry (Government),2,1,3
HIMACHAL PRADESH,2013,Truck/Lorry (Private),114,19,133
HIMACHAL PRADESH,2013,Bus (Government),25,6,31
HIMACHAL PRADESH,2013,Bus (Private),90,45,135
HIMACHAL PRADESH,2013,Tempo/Vans (Government),0,0,0
HIMACHAL PRADESH,2013,Tempo/Vans (Private),35,11,46
HIMACHAL PRADESH,2013,Jeep (Government),0,0,0
HIMACHAL PRADESH,2013,Jeep (Private),98,37,135
HIMACHAL PRADESH,2013,Car (Government),0,0,0
HIMACHAL PRADESH,2013,Car (Private),241,35,276
HIMACHAL PRADESH,2013,Three Wheeler,2,2,4
HIMACHAL PRADESH,2013,Two Wheeler,133,19,152
HIMACHAL PRADESH,2013,Bicycle,1,0,1
HIMACHAL PRADESH,2013,Pedestrian,16,5,21
HIMACHAL PRADESH,2013,Others (Please Specify),107,12,119
HIMACHAL PRADESH,2013,Total Deaths (Persons),864,192,1056
HIMACHAL PRADESH,2013,Total Truck/Lorry,116,20,136
HIMACHAL PRADESH,2013,Total Bus,115,51,166
HIMACHAL PRADESH,2013,Total Tempo/Vans,35,11,46
HIMACHAL PRADESH,2013,Total Jeep,98,37,135
HIMACHAL PRADESH,2013,Total Car,241,35,276
JAMMU & KASHMIR,2013,Truck/Lorry (Government),12,0,12
JAMMU & KASHMIR,2013,Truck/Lorry (Private),108,16,124
JAMMU & KASHMIR,2013,Bus (Government),1,0,1
JAMMU & KASHMIR,2013,Bus (Private),69,24,93
JAMMU & KASHMIR,2013,Tempo/Vans (Government),0,0,0
JAMMU & KASHMIR,2013,Tempo/Vans (Private),72,12,84
JAMMU & KASHMIR,2013,Jeep (Government),0,0,0
JAMMU & KASHMIR,2013,Jeep (Private),24,11,35
JAMMU & KASHMIR,2013,Car (Government),1,1,2
JAMMU & KASHMIR,2013,Car (Private),91,23,114
JAMMU & KASHMIR,2013,Three Wheeler,16,2,18
JAMMU & KASHMIR,2013,Two Wheeler,138,17,155
JAMMU & KASHMIR,2013,Bicycle,3,0,3
JAMMU & KASHMIR,2013,Pedestrian,59,24,83
JAMMU & KASHMIR,2013,Others (Please Specify),225,43,268
JAMMU & KASHMIR,2013,Total Deaths (Persons),819,173,992
JAMMU & KASHMIR,2013,Total Truck/Lorry,120,16,136
JAMMU & KASHMIR,2013,Total Bus,70,24,94
