STATE/UT,Year,CAUSE,Male,Female,Total
WEST BENGAL,2013,Truck/Lorry (Private),1190,189,1379
WEST BENGAL,2013,Bus (Government),54,22,76
WEST BENGAL,2013,Bus (Private),455,127,582
WEST BENGAL,2013,Tempo/Vans (Government),0,1,1
WEST BENGAL,2013,Tempo/Vans (Private),189,61,250
WEST BENGAL,2013,Jeep (Government),10,6,16
WEST BENGAL,2013,Jeep (Private),173,59,232
WEST BENGAL,2013,Car (Government),8,2,10
WEST BENGAL,2013,Car (Private),419,121,540
WEST BENGAL,2013,Three Wheeler,105,20,125
WEST BENGAL,2013,Two Wheeler,814,136,950
WEST BENGAL,2013,Bicycle,246,39,285
WEST BENGAL,2013,Pedestrian,638,133,771
WEST BENGAL,2013,Others (Please Specify),489,113,602
WEST BENGAL,2013,Total Deaths (Persons),4798,1029,5827
WEST BENGAL,2013,Total Truck/Lorry,1198,189,1387
WEST BENGAL,2013,Total Bus,509,149,658
WEST BENGAL,2013,Total Tempo/Vans,189,62,251
WEST BENGAL,2013,Total Jeep,183,65,248
WEST BENGAL,2013,Total Car,427,123,550
A & N ISLANDS,2013,Truck/Lorry (Government),0,0,0
A & N ISLANDS,2013,Truck/Lorry (Private),5,3,8
A & N ISLANDS,2013,Bus (Government),1,0,1
A & N ISLANDS,2013,Bus (Private),0,0,0
A & N ISLANDS,2013,Tempo/Vans (Government),0,0,0
A & N ISLANDS,2013,Tempo/Vans (Private),2,0,2
A & N ISLANDS,2013,Jeep (Government),0,0,0
A & N ISLANDS,2013,Jeep (Private),1,0,1
A & N ISLANDS,2013,Car (Government),0,0,0
A & N ISLANDS,2013,Car (Private),0,0,0
A & N ISLANDS,2013,Three Wheeler,0,1,1
A & N ISLANDS,2013,Two Wheeler,17,0,17
A & N ISLANDS,2013,Bicycle,0,0,0
A & N ISLANDS,2013,Pedestrian,8,2,10
A & N ISLANDS,2013,Others (Please Specify),0,0,0
A & N ISLANDS,2013,Total Deaths (Persons),34,6,40
A & N ISLANDS,2013,Total Truck/Lorry,5,3,8
A & N ISLANDS,2013,Total Bus,1,0,1
A & N ISLANDS,2013,Total Tempo/Vans,2,0,2
A & N ISLANDS,2013,Total Jeep,1,0,1
A & N ISLANDS,2013,Total Car,0,0,0
CHANDIGARH,2013,Truck/Lorry (Government),0,0,0
CHANDIGARH,2013,Truck/Lorry (Private),0,0,0
CHANDIGARH,2013,Bus (Government),0,0,0
CHANDIGARH,2013,Bus (Private),0,0,0
CHANDIGARH,2013,Tempo/Vans (Government),0,0,0
CHANDIGARH,2013,Tempo/Vans (Private),2,0,2
CHANDIGARH,2013,Jeep (Government),0,0,0
CHANDIGARH,2013,Jeep (Private),0,0,0
CHANDIGARH,2013,Car (Government),0,0,0
CHANDIGARH,2013,Car (Private),5,0,5
CHANDIGARH,2013,Three Wheeler,4,1,5
CHANDIGARH,2013,Two Wheeler,28,5,33
CHANDIGARH,2013,Bicycle,27,2,29
CHANDIGARH,2013,Pedestrian,32,9,41
CHANDIGARH,2013,Others (Please Specify),6,1,7
CHANDIGARH,2013,Total Deaths (Persons),104,18,122
CHANDIGARH,2013,Total Truck/Lorry,0,0,0
CHANDIGARH,2013,Total Bus,0,0,0
CHANDIGARH,2013,Total Tempo/Vans,2,0,2
CHANDIGARH,2013,Total Jeep,0,0,0
CHANDIGARH,2013,Total Car,5,0,5
D & N HAVELI,2013,Truck/Lorry (Government),0,0,0
D & N HAVELI,2013,Truck/Lorry (Private),13,0,13
D & N HAVELI,2013,Bus (Government),0,0,0
D & N HAVELI,2013,Bus (Private),1,0,1
D & N HAVELI,2013,Tempo/Vans (Government),0,0,0
D & N HAVELI,2013,Tempo/Vans (Private),3,2,5
D & N HAVELI,2013,Jeep (Government),0,0,0
D & N HAVELI,2013,Jeep (Private),2,1,3
D & N HAVELI,2013,Car (Government),0,0,0
D & N HAVELI,2013,Car (Private),2,1,3
D & N HAVELI,2013,Three Wheeler,0,0,0
D & N HAVELI,2013,Two Wheeler,12,1,13
D & N HAVELI,2013,Bicycle,0,0,0
D & N HAVELI,2013,Pedestrian,0,0,0
D & N HAVELI,2013,Others (Please Specify),11,0,11
D & N HAVELI,2013,Total Deaths (Persons),44,5,49
D & N HAVELI,2013,Total Truck/Lorry,13,0,13
D & N HAVELI,2013,Total Bus,1,0,1
D & N HAVELI,2013,Total Tempo/Vans,3,2,5
D & N HAVELI,2013,Total Jeep,2,1,3
D & N HAVELI,2013,Total Car,2,1,3
DAMAN & DIU,2013,Truck/Lorry (Government),0,0,0
DAMAN & DIU,2013,Truck/Lorry (Private),5,0,5
DAMAN & DIU,2013,Bus (Government),0,0,0
DAMAN & DIU,2013,Bus (Private),0,0,0
DAMAN & DIU,2013,Tempo/Vans (Government),0,0,0
DAMAN & DIU,2013,Tempo/Vans (Private),2,0,2
DAMAN & DIU,2013,Jeep (Government),0,0,0
DAMAN & DIU,2013,Jeep (Private),0,0,0
DAMAN & DIU,2013,Car (Government),0,0,0
DAMAN & DIU,2013,Car (Private),5,0,5
DAMAN & DIU,2013,Three Wheeler,0,0,0
DAMAN & DIU,2013,Two Wheeler,13,2,15
DAMAN & DIU,2013,Bicycle,0,0,0
DAMAN & DIU,2013,Pedestrian,0,0,0
DAMAN & DIU,2013,Others (Please Specify),4,0,4
DAMAN & DIU,2013,Total Deaths (Persons),29,2,31
DAMAN & DIU,2013,Total Truck/Lorry,5,0,5
DAMAN & DIU,2013,Total Bus,0,0,0
DAMAN & DIU,2013,Total Tempo/Vans,2,0,2
DAMAN & DIU,2013,Total Jeep,0,0,0
DAMAN & DIU,2013,Total Car,5,0,5
DELHI (UT),2013,Truck/Lorry (Government),4,0,4
DELHI (UT),2013,Truck/Lorry (Private),178,23,201
DELHI (UT),2013,Bus (Government),56,4,60
DELHI (UT),2013,Bus (Private),36,6,42
DELHI (UT),2013,Tempo/Vans (Government),5,1,6
DELHI (UT),2013,Tempo/Vans (Private),58,11,69
DELHI (UT),2013,Jeep (Government),0,0,0
DELHI (UT),2013,Jeep (Private),15,5,20
DELHI (UT),2013,Car (Government),0,1,1
DELHI (UT),2013,Car (Private),259,26,285
DELHI (UT),2013,Three Wheeler,40,11,51
DELHI (UT),2013,Two Wheeler,396,34,430
DELHI (UT),2013,Bicycle,41,2,43
DELHI (UT),2013,Pedestrian,310,42,352
DELHI (UT),2013,Others (Please Specify),253,14,267
DELHI (UT),2013,Total Deaths (Persons),1651,180,1831
DELHI (UT),2013,Total Truck/Lorry,182,23,205
DELHI (UT),2013,Total Bus,92,10,102
DELHI (UT),2013,Total Tempo/Vans,63,12,75
DELHI (UT),2013,Total Jeep,15,5,20
DELHI (UT),2013,Total Car,259,27,286
LAKSHADWEEP,2013,Truck/Lorry (Government),0,0,0
LAKSHADWEEP,2013,Truck/Lorry (Private),0,0,0
LAKSHADWEEP,2013,Bus (Government),0,0,0
LAKSHADWEEP,2013,Bus (Private),0,0,0
LAKSHADWEEP,2013,Tempo/Vans (Government),0,0,0
LAKSHADWEEP,2013,Tempo/Vans (Private),0,0,0
LAKSHADWEEP,2013,Jeep (Government),0,0,0
LAKSHADWEEP,2013,Jeep (Private),0,0,0
LAKSHADWEEP,2013,Car (Government),0,0,0
LAKSHADWEEP,2013,Car (Private),0,0,0
LAKSHADWEEP,2013,Three Wheeler,0,0,0
LAKSHADWEEP,2013,Two Wheeler,0,0,0
LAKSHADWEEP,2013,Bicycle,0,0,0
LAKSHADWEEP,2013,Pedestrian,0,0,0
LAKSHADWEEP,2013,Others (Please Specify),0,0,0
LAKSHADWEEP,2013,Total Deaths (Persons),0,0,0
LAKSHADWEEP,2013,Total Truck/Lorry,0,0,0
LAKSHADWEEP,2013,Total Bus,0,0,0
LAKSHADWEEP,2013,Total Tempo/Vans,0,0,0
LAKSHADWEEP,2013,Total Jeep,0,0,0
LAKSHADWEEP,2013,Total Car,0,0,0
PUDUCHERRY,2013,Truck/Lorry (Government),0,0,0
PUDUCHERRY,2013,Truck/Lorry (Private),32,3,35
PUDUCHERRY,2013,Bus (Government),12,1,13
PUDUCHERRY,2013,Bus (Private),25,2,27
PUDUCHERRY,2013,Tempo/Vans (Government),2,0,2
PUDUCHERRY,2013,Tempo/Vans (Private),13,1,14
PUDUCHERRY,2013,Jeep (Government),1,0,1
PUDUCHERRY,2013,Jeep (Private),0,0,0
PUDUCHERRY,2013,Car (Government),0,0,0
PUDUCHERRY,2013,Car (Private),22,1,23
PUDUCHERRY,2013,Three Wheeler,5,2,7
PUDUCHERRY,2013,Two Wheeler,58,20,78
PUDUCHERRY,2013,Bicycle,0,0,0
PUDUCHERRY,2013,Pedestrian,0,0,0
PUDUCHERRY,2013,Others (Please Specify),23,5,28
PUDUCHERRY,2013,Total Deaths (Persons),193,35,228
PUDUCHERRY,2013,Total Truck/Lorry,32,3,35
PUDUCHERRY,2013,Total Bus,37,3,40
PUDUCHERRY,2013,Total Tempo/Vans,15,1,16
PUDUCHERRY,2013,Total Jeep,1,0,1
PUDUCHERRY,2013,Total Car,22,1,23
