STATE/UT,Year,CAUSE,Male,Female,Total
BIHAR,2002,Bus (Government),46,6,52
BIHAR,2002,Bus (Private),314,66,380
BIHAR,2002,Tempo/Vans (Government),2,0,2
BIHAR,2002,Tempo/Vans (Private),119,35,154
BIHAR,2002,Jeep (Government),5,3,8
BIHAR,2002,Jeep (Private),256,60,316
BIHAR,2002,Car (Government),1,0,1
BIHAR,2002,Car (Private),82,15,97
BIHAR,2002,Three Wheeler,47,9,56
BIHAR,2002,Two Wheeler,96,8,104
BIHAR,2002,Bicycle,17,3,20
BIHAR,2002,Pedestrian,40,2,42
BIHAR,2002,Others (Please Specify),289,58,347
BIHAR,2002,Total Deaths (Persons),1801,343,2144
BIHAR,2002,Total Truck/Lorry,487,78,565
BIHAR,2002,Total Bus,360,72,432
BIHAR,2002,Total Tempo/Vans,121,35,156
BIHAR,2002,Total Jeep,261,63,324
BIHAR,2002,Total Car,83,15,98
BIHAR,2003,Truck/Lorry (Government),72,5,77
BIHAR,2003,Truck/Lorry (Private),562,84,646
BIHAR,2003,Bus (Government),10,0,10
BIHAR,2003,Bus (Private),215,45,260
BIHAR,2003,Tempo/Vans (Government),10,0,10
BIHAR,2003,Tempo/Vans (Private),171,39,210
BIHAR,2003,Jeep (Government),17,0,17
BIHAR,2003,Jeep (Private),249,70,319
BIHAR,2003,Car (Government),2,0,2
BIHAR,2003,Car (Private),87,25,112
BIHAR,2003,Three Wheeler,41,8,49
BIHAR,2003,Two Wheeler,131,18,149
BIHAR,2003,Bicycle,31,3,34
BIHAR,2003,Pedestrian,70,14,84
BIHAR,2003,Others (Please Specify),191,23,214
BIHAR,2003,Total Deaths (Persons),1859,334,2193
BIHAR,2003,Total Truck/Lorry,634,89,723
BIHAR,2003,Total Bus,225,45,270
BIHAR,2003,Total Tempo/Vans,181,39,220
BIHAR,2003,Total Jeep,266,70,336
BIHAR,2003,Total Car,89,25,114
BIHAR,2004,Truck/Lorry (Government),11,9,20
BIHAR,2004,Truck/Lorry (Private),456,101,557
BIHAR,2004,Bus (Government),9,1,10
BIHAR,2004,Bus (Private),242,66,308
BIHAR,2004,Tempo/Vans (Government),1,0,1
BIHAR,2004,Tempo/Vans (Private),147,39,186
BIHAR,2004,Jeep (Government),5,2,7
BIHAR,2004,Jeep (Private),250,69,319
BIHAR,2004,Car (Government),3,0,3
BIHAR,2004,Car (Private),78,27,105
BIHAR,2004,Three Wheeler,22,2,24
BIHAR,2004,Two Wheeler,89,18,107
BIHAR,2004,Bicycle,27,0,27
BIHAR,2004,Pedestrian,79,29,108
BIHAR,2004,Others (Please Specify),241,76,317
BIHAR,2004,Total Deaths (Persons),1660,439,2099
BIHAR,2004,Total Truck/Lorry,467,110,577
BIHAR,2004,Total Bus,251,67,318
BIHAR,2004,Total Tempo/Vans,148,39,187
BIHAR,2004,Total Jeep,255,71,326
BIHAR,2004,Total Car,81,27,108
BIHAR,2005,Truck/Lorry (Government),28,9,37
BIHAR,2005,Truck/Lorry (Private),437,67,504
BIHAR,2005,Bus (Government),40,6,46
BIHAR,2005,Bus (Private),260,61,321
BIHAR,2005,Tempo/Vans (Government),17,1,18
BIHAR,2005,Tempo/Vans (Private),71,26,97
BIHAR,2005,Jeep (Government),8,2,10
BIHAR,2005,Jeep (Private),230,77,307
BIHAR,2005,Car (Government),18,0,18
BIHAR,2005,Car (Private),100,24,124
BIHAR,2005,Three Wheeler,52,10,62
BIHAR,2005,Two Wheeler,87,14,101
BIHAR,2005,Bicycle,36,1,37
BIHAR,2005,Pedestrian,35,9,44
